,study_id,max_trials,evalution_metric
355,model_20210901-162916-3b0c844490,15,mean_absolute_error
356,model_20210901-162758-dab0beef8b,15,mean_absolute_error
357,model_20210901-162753-2710ede160,15,mean_absolute_error
358,model_20210901-162748-7b6e8cadad,15,mean_absolute_error
359,model_20210901-162626-71f420ff75,15,mean_absolute_error
360,model_20210901-003347-77ebf1f99b,15,mean_absolute_error
361,model_20210831-214334-5eae9192bb,15,mean_absolute_error
362,model_20210831-212011-415e5e38ae,15,mean_absolute_error
363,model_20210831-210342-ab0d9b7a1a,15,mean_absolute_error
364,model_20210831-204517-eb44c7df52,15,mean_absolute_error
365,model_20210831-192451-aee5e06e0b,15,mean_absolute_error
366,model_20210831-191406-3128dcae0d,15,mean_absolute_error
367,model_20210831-181918-2435e1ddc6,15,mean_absolute_error
368,model_20210831-175622-0d4ab1d08f,15,mean_absolute_error
369,model_20210831-173946-0e0782d650,15,mean_absolute_error
370,model_20210831-173253-f5bc7fe96d,15,mean_absolute_error
371,model_20210831-172427-3787cfd6a7,15,mean_absolute_error
372,model_20210831-172326-44911231b7,15,mean_absolute_error
373,model_20210831-110248-9b649b5772,15,mean_absolute_error
374,model_20210831-080131-e7573061e4,15,mean_absolute_error
375,model_20210831-074422-8a0c5b3942,15,mean_absolute_error
376,model_20210831-074232-a95b1af59f,15,mean_absolute_error
377,model_20210831-070324-c1169d672c,15,mean_absolute_error
378,model_20210831-070044-4366548518,15,mean_absolute_error
379,model_20210831-061327-fd99807ed6,15,mean_absolute_error
380,model_20210831-060120-6b4a901226,15,mean_absolute_error
381,model_20210831-053244-91247caa0b,15,mean_absolute_error
382,model_20210831-051156-c4827a3719,15,mean_absolute_error
383,model_20210831-034628-45c855e149,15,mean_absolute_error
384,model_20210831-034113-bd5270866b,15,mean_absolute_error
385,model_20210831-032712-4aa6c9ff8d,15,mean_absolute_error
386,model_20210831-031400-ce8fd4506f,15,mean_absolute_error
387,model_20210831-024450-3574f42c3a,15,mean_absolute_error
388,model_20210831-022549-7b24e5e8ce,15,mean_absolute_error
389,model_20210831-022422-c3fdb69ccf,15,mean_absolute_error
390,model_20210831-015547-8e692d6aa8,15,mean_absolute_error
391,model_20210831-010104-768ed0f513,15,mean_absolute_error
392,model_20210831-005315-06a7b5836f,15,mean_absolute_error
393,model_20210831-001023-e23de6f345,15,mean_absolute_error
394,model_20210830-235540-afc252506d,15,mean_absolute_error
395,model_20210830-233105-14ac4e39d4,15,mean_absolute_error
396,model_20210830-232254-e739699bb1,15,mean_absolute_error
397,model_20210830-230403-523c183a0a,15,mean_absolute_error
398,model_20210830-230336-f40c0e03e1,15,mean_absolute_error
399,model_20210830-230312-82a5633fb6,15,mean_absolute_error
400,model_20210830-225624-e44c912f63,15,mean_absolute_error
401,model_20210830-224502-725443d762,15,mean_absolute_error
402,model_20210830-210457-610cbd8795,15,mean_absolute_error
403,model_20210830-195302-24cb5d3ecb,15,mean_absolute_error
404,model_20210830-195206-742d3b7f63,15,mean_absolute_error
405,model_20210830-195203-9e19445f69,15,mean_absolute_error
406,model_20210830-195006-a55b44fd72,15,mean_absolute_error
407,model_20210830-194451-96a29647f4,15,mean_absolute_error
408,model_20210830-194222-ea112b6b2a,15,mean_absolute_error
409,model_20210830-193526-9a4482e89a,15,mean_absolute_error
410,model_20210830-193415-2af06f8014,15,mean_absolute_error
411,model_20210830-193249-2ce1ffe3d3,15,mean_absolute_error
412,model_20210830-193227-ed802c76fd,15,mean_absolute_error
413,model_20210830-180411-ab13d22d6e,15,mean_absolute_error
414,model_20210828-012655-bfac00583d,15,mean_absolute_error
415,model_20210828-011840-256f9a0566,15,mean_absolute_error
416,model_20210828-001742-5fab16cb12,15,mean_absolute_error
417,model_20210828-000901-65c3644865,15,mean_absolute_error
418,model_20210827-235312-f567dd2447,15,mean_absolute_error
419,model_20210827-234854-6495b2976c,15,mean_absolute_error
420,model_20210827-232210-9e255691a9,15,mean_absolute_error
421,model_20210827-231256-9997ea5c73,15,mean_absolute_error
422,model_20210827-222941-8de4fa6368,15,mean_absolute_error
423,model_20210827-203516-47591d46ce,15,mean_absolute_error
424,model_20210827-200405-e586ff420f,15,mean_absolute_error
425,model_20210827-200340-db0f6abbb4,15,mean_absolute_error
426,model_20210827-200212-f35b2e1150,15,mean_absolute_error
427,model_20210827-195940-89a93d1e2e,15,mean_absolute_error
428,model_20210821-223905-4391df75a3,15,mean_absolute_error
429,model_20210821-223843-9d2dd217e8,15,mean_absolute_error
430,model_20210821-223811-918c8cf88f,15,mean_absolute_error
431,model_20210821-223629-0c550d2fb0,15,mean_absolute_error
432,model_20210821-223620-15825e3f8f,15,mean_absolute_error
433,model_20210821-223557-48fec74b91,15,mean_absolute_error
434,model_20210821-223503-dc59672888,15,mean_absolute_error
435,model_20210821-223441-d651b148ef,15,mean_absolute_error
436,model_20210821-195926-e30a58aef1,15,mean_absolute_error
437,model_20210821-195647-e2df84f0af,15,mean_absolute_error
438,model_20210821-195525-6a219fabc6,15,mean_absolute_error
439,model_20210821-195335-a8bf402e3f,15,mean_absolute_error
440,model_20210819-193939-d2b2e6599a,15,mean_absolute_error
441,model_20210819-193915-99c8d97522,15,mean_absolute_error
442,model_20210819-193838-2e262ba474,15,mean_absolute_error
443,model_20210819-193805-806aeea0f3,15,mean_absolute_error
444,model_20210819-193747-c6324129bc,15,mean_absolute_error
445,model_20210819-193538-ece0c34884,15,mean_absolute_error
446,model_20210819-193536-0a425949da,15,mean_absolute_error
447,model_20210819-193437-041a6601b7,15,mean_absolute_error
448,model_20210818-170035-bdafa13736,15,mean_absolute_error
449,model_20210818-165615-847ae535d1,15,mean_absolute_error
450,model_20210818-164819-bd87728d92,15,mean_absolute_error
451,model_20210818-164803-cb63f1ec19,15,mean_absolute_error
452,model_20210818-164220-420bcfb538,15,mean_absolute_error
453,model_20210818-164208-018882c00b,15,mean_absolute_error
454,model_20210818-163342-3417357d34,15,mean_absolute_error
455,model_20210818-162932-69aac0c98f,15,mean_absolute_error
